Row number,CIID,Chemical Name,Recipe,CAS Number ,Supplier,Product # (link to item),lot #,container #,amount,"amount, kg",unit, location,"est amount remaining 
(June 30, 2023)",pdfs of SDS (as of Jan 2025) (SDS must be updated every 3 years) ,UN Number,Class,Packing Group,GHS Flammable liquid category,Supplier SDS link (SDS should update as suppliers update),est amount remaining (Jun 2024),Expiry Date,date consumed,COA or other notes,,State (based on CoA SDS info (section 3 or 9) if available)),colour (based on CoA or SDS info (section 9) if available)),MolecularWeight,density,,TOXIC ORAL,TOXIC DERMAL,TOXIC INHALATION,SKIN CORROSION / IRRITATION,SERIOUS EYE DAMAGE/EYE IRRITATION,RESPIRATORY SENSITIZATION,SKIN SENSITIZATION,GERM CELL MUTAGENICITY,CARCINOGENICITY,REPRODUCTIVE TOXICITY,SPECIFIC TARGET ORGAN TOXICITY SINGLE EXPOSURE,SPECIFIC TARGET ORGAN TOXICITY REPEATED EXPOSURE,ASPIRATION HAZARD,Health hazard not otherwise classified,FLAMMABLE LIQUIDS,FLAMMABLE SOLIDS,Self-reactive substances and mixtures,CORROSIVE TO METALS,SELF-HEATING SUBSTANCES AND MIXTURE,OXIDIZING  LIQUIDS,OXIDIZING SOLIDS,COMBUSTIBLE DUSTS,Fire or projection hazard,Physical Hazards Not Otherwise Classified,Short-term (acute) aquatic hazard ,Long-term (chronic) aquatic hazard 
197,133,calcium chloride dihydrate,,10035-04-8,Sigma Aldrich,223506-25G,MKBX7059V,,25 g,0.025,kg,FC1; bottom right,40%,Calcium Chloride Dihydrate_Sigma_SDS_Revised May 2023,Not dangerous goods,n/a,n/a,n/a,Sigma_223506_calcium chloride dihydrate,,,,,,crystalline,white,147.01,1.85,,4,4,,1B,1,,,,,,,,,,4,,,1,,,,,,,,
203,134,cerium (III) chloride,,18618-55-8,Sigma?,228931 (if Sigma),,,vial,,,FC1; metal chlorides,5%,Cerium(III) chloride heptahydrate_Sigma_SDS_revised May 2023,UN3260 ,8,III,n/a,Sigma_228931_cerium (III) chloride (heptahydrate?),,,,,,solid (crystalline),white,372.58,3.94,,,,4,2,2A,,,,,,3,,,,3,,,,,,,,,,,
206,135,cerium oxide,"dipersion in water, acetate stabilized","contains 1306-38-3, 64-19-7, 7732-18-5",NYACOL Nano Technologies Inc.,CEO2(AC),111680,,100 g,0.1,kg,FC1; dispersions,60%,"Cerium Oxide and Water,Acetate Stabilized_CeO2(AC)_Nyacol_SDS_revised Feb 2021",Not dangerous goods,n/a,n/a,n/a,,,,,,,liquid,yellow,,1.2,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
208,136,cerium oxide,"nanoparticles, 20 wt% in water","contains 1306-38-3, 7732-18-5","US Research Nanomaterials, Inc.",US3037W,,,60 g,0.06,kg,FC1; dispersions,75%,Cerium Oxide Nanoparticles_US Research Nanomaterials_SDS_revised Feb 2023,Not dangerous goods,n/a,n/a,n/a,"US Research Nanomaterials_US3037W_Cerium Oxide Nanoparticles/Nanopowder 20wt% Water Dispersion (CeO2, 99.99%, 10 nm), ceria nanoparticles",,,,,,liquid ,colourless,,,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
217,137,chromium (III) 2-ethylhexanoate,50% in 2-ethylhexanoic acid,3444-17-5,ThermoFisher,A16560.18,10201859,,250 g,0.25,kg,FC1; metal 2ethylhexanoates,30%,Chromium (III) 2-ethylhexanoate (50% in 2eh acid) ThermoFisher_SDS_revised April 2024,Not dangerous goods,n/a,n/a,n/a,"ThermoFisher_A16560.18_chromium (III) 2-ethylhexanoate, 50% in 2-ethylhexanoic acid",,,,,,liquid ,green,,,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
223,138,cobalt 2-ethylhexanoate,,136-52-7,Strem?,27-0449 (if Strem),,,vial,,,FC1; metal 2ethylhexanoates,full vial (~18 mL),Cobalt 2-ethylhexanoate in mineral spirits (12%Co)_Strem_SDS_Revised July 2021(checked Jan 2025),UN1993,3,III,3,Strem_27-0449 _cobalt 2-ethylhexanoate,,,,,,liquid ,violet,345.148,1.01,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
228,139,conductive paste,"SW180, silver","contains 7440-22-4, 7440-50-8, 112-34-5, 34590-94-8, others ""in registry""",TATSUTA / JFE Shoji Electronics Corporation,SW180,210112,,250 g,0.25,kg,freezer,100%,Conductive Paste SW180T7_TATSUTA_SDS_revised Sept 2020,Not dangerous goods,n/a,n/a,,,,,,,,solid (Paste),gray,,4.0,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
229,140,copper (II) chloride,97%,7447-39-4,Sigma Aldrich,222011-50G,BCBZ7489,,50 g,0.05,kg,FC1; metal chlorides,60%,"Copper(II) Chloride, 97%_Sigma_SDS_revised Feb 2021",UN2802,8,III,,"Sigma_222011_Copper (II) Chloride, 97%",,,,,,solid,brown,134.45,3.4,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
231,141,Hydranal,Coulomat AG,"contains 67-56-1, 111-42-2, 7446-09-5, 288-32-4, 68007-08-9",Honeywell / Fluka,34836-500ML-US,K2110,,500 mL,0.465,kg,FC2,20%,Coulomat AG (Hydranal)_Honeywell (Fluka)_SDS_revised Nov 2022,UN1230,3 (6.1),II,2,Fluka (HoneyWell)_34836_Coulomat Ag (Hydranal),,,,,,liquid ,light yellow,,0.93,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
234,142,Hydranal,Coulomat AG-oven,"contains 67-56-1, 57-55-6, 111-42-2, 288-32-4, 7446-09-5, 68007-08-9",Honeywell / Fluka,34739-500ML-US,M1260,,500 mL,0.465,kg,FC2,30%,Coulomat AG-Oven (Hydranal)_HoneyWell (Fluka)_SDS_revised Feb 2020 (checked Jan 2025),UN1230,3 (6.1),II,2,Fluka (HoneyWell)_34739_CoulomatAg-Oven (Hydranal),,April 2027,,,,liquid ,light yellow,,0.93,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
251,143,copper(II) nitrate trihydrate,,10031-43-3,Sigma Aldrich,61194-100G,BCBZ3471,,100 g,0.1,kg,FC1; oxidizers,50%,"Cupric Nitrate Trihydrate, ACS grade_Sigma_SDS_revised August 2024",UN1477,5.1,II,,"Sigma_61194_Cupric Nitrate Trihydrate, ACS grade; Copper(II) nitrate trihydrate",,,,,,Solid (Crystalline),Dark blue,241.6,2.05,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
278,144,2-(dimethylamino)-2-methyl-1-propanol,,7005-47-2,Angus Chemical Company,376049,F100L2CS11,,0.5 L,2,kg,FC2,95%,DMAMP Regular 2-dimethylamino-2-methyl-1-propanol_Angus Chemical Company_SDS_revised Oct 2020,Not dangerous goods,n/a,n/a,,,,,,,,liquid,colourless to yellow,117.2,4,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
284,145,adhesive,Dymax 9801,,Dymax,9801,2407533,,30 mL,0.03,kg,Fridge,100% (expired),Dymax 9801 Adhesive_Dymax_SDS_revised May 2021,Not dangerous goods,n/a,n/a,,,,March 2021,,,,liquid (gel),off-white,,,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
315,146,ethyl acetate,"HPLC grade, 99.9%",141-78-6,Fisher,E195-1,158883,,1 L,0.9,kg,FC 2; middle,50%,ethyl acetate HPLC grade_Fisher_SDS_revised Dec 2021,UN1173,3,II,,,,,,,,liquid ,colourless,88.11,0.9,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
412,147,hydroquinone,99%,123-31-9,ThermoFisher,A11411-30,S18F039,,250 g,0.25,kg,glovebox,80%,"Hydroquinone, 99%_SDS_ThermoFisher_Revised March 2024",UN3077,9,III,,"ThermoFisher_A11411_Hydroquinone, 99%",,,,,,soild,off-white,110.11,1.320,,,,,,2,,,,,,3,2,,,2,,,,,,,,,,,
418,148,indium tin oxide,dispersion in ethylene glycol,"contains 107-21-1, 1312-43-2, 18282-10-5",NYACOL Nano Technologies Inc.,ITO(EG),86-204-B,,100 g,0.1,kg,FC1; dispersions,50%,ITO in EG_Nyacol_SDS_revised July 2019,Not dangerous goods,n/a,n/a,,,,,,,,liquid,blue,,1.3,,,,,,,,,,,,,2,,,,,,,,,,,,,,3
457,149,leaded solder paste,"syringe, solder cream","contains 8050-09-7, 8000-41-7, 110-16-7, 7439-92-1, 7440-31-5, 7440-22-4, 7440-69-9, 7440-36-0, 7440-74-6",Chip Quik,TS391AX,470011-20051,,15 g,0.015,kg,fridge,95%,Leaded Solder Paste_TS391AX50 & TS391AX_ChipQuik_SDS_revised Feb 2023,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),Grey,,,,4,4,4,2,2,,,,,,3,,,,2,,,,,,,,,,,
458,150,leaded solder paste,"tub, solder cream","contains 8050-09-7, 8000-41-7, 110-16-7, 7439-92-1, 7440-31-5, 7440-22-4, 7440-69-9, 7440-36-0, 7440-74-6 ",Chip Quik,TS391AX50,470015-19806,,50 g,0.05,kg,fridge,95%,Leaded Solder Paste_TS391AX50 & TS391AX_ChipQuik_SDS_revised Feb 2023,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),Grey,,,,4,,4,,,,,,,,,,,,,,Type C,,,,,,,,2,3
472,151,lithium bis(trifluoromethaneslfonyl)imide,,90076-65-6,"Shanghai T&W Pharmaceutical Co., Ltd (manufacturer = PERIC Special Gases Co., Ltd)",,,,250 g,0.25,kg,glovebox,20%,"Lithium Bis(trifluoromethylsulfonyl)imide_Shanghai T&W Pharmaceutical Co., Ltd (manufacturer = PERIC Special Gases Co., Ltd)CHINA_SDS_revised April 2018 (checked June 2021) ",UN2923,8 (6.1),II,,,,,,COA,,solid (powder),white,287.09,1.334,,,,,,,,,,,,,,,,4,,,,,,,,,,,
521,152,lithium bis(trifluoromethaneslfonyl)imide,"anhydrous, 99.9%",90076-65-6,Solvay,,1804001,,100 g,0.1,kg,glovebox,50%,"Lithium bis(trifluoromethylsulfonyl)imide, 99.9% Extra dry_SDS_Solvay_Revised July 2020",UN2923,8 (6.1),II,,,,,,,,solid (crystal),white,287.08,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
522,153,lithium bis(trifluoromethaneslfonyl)imide,98%,90076-65-6,ThermoFisher,H27307,10222574,,50 g ,0.05,kg,glovebox,10%,"Lithium bis(trifluoromethylsulfonyl)imide, 98+%_SDS_ThermoFisher_Revised March 2024",UN2923,8 (6.1),II,,"Thermofisher_H27307_Lithium bis(trifluoromethylsulfonyl)imide, 98+%",,,,,,solid (powder),white,287.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,154,lithium carbonate,,554-13-2,Sigma?,255823 (if Sigma),,,vial,,,FC1; bottom right,partial vial,Lithium carbonate_Sigma_SDS_revised March 2023,Not dangerous goods,n/a,n/a,,Sigma_255823_lithium carbonate,,,,,,"solid (granular, powder)",white,73.89,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,155,lithium foil,0.1 x 60 mm,7439-93-2,GELON (CHINA),,,,200 g,0.2,kg,glovebox,?50%,"lithium foil 0.1 x 60 mm_GELON, CHINA_SDS_1993_Recieved June 15, 2021",UN1415,4.3,I,,,,,,,,solid,silvery-white,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,156,lithium perchlorate,,7791-03-9,Sigma Aldrich,205281-500G,MKCK6410,,500 g,0.5,kg,FC1; oxidizers,5%,Lithium Perchlorate Reagent Grade_Sigma_SDS_Revised Jan 2025,UN1481 ,5.1,II,n/a,Sigma_205281_Lithium Perchlorate Reagent Grade,,,,,,solid (granular),white,,2.29,,4,,,2,1,,1,,,,,,,,,,,,,,,,,,3,
567,157,lithium tetrafluoroborate,98%,14283-07-9,ThermoFisher,11528-18,Q26F020,,50 g,0.05,kg,glovebox,60%,"Lithuim tetrafluoroborate, 98%_SDS_ThermoFisher_Revised March 2024",UN3260,8,II,,"ThermoFisher_11528_Lithuim tetrafluoroborate, 98%",,,,,,solid ,off-white,93.75,,,4,4,4,2,2A,,,,,,,,,,,,,,,,,,,,,
576,158,manganese (II) 2-ethylhexanoate,40% in mineral spirits,13434-24-7,Strem,93-2532,,,vial,,,FC1; metal 2ethylhexanoates,10% of vial (~2 mL),"Manganese(II) 2-ethylhexanoate, 40% solution in mineral spirits (6% Mn)_Strem_SDS_Revised July 2021 checked Feb 2025",UN1993,3,III,,"Strem_93-2532_Manganese(II) 2-ethylhexanoate, 40% solution in mineral spirits (6% Mn)",,,,,,liquid ,brown,341.35,,,4,4,4,2,2A,,,,,,,,,,,,,,,,,,,,,
579,159,methanol,"99.9%, anhydrous",67-56-1,ThermoFisher,41467,R24F749,,250 mL,0.19775,kg,glovebox,95%,methanol anhydrous_ThermoFisher_SDS_Revised March 2024,UN1230,3 (6.1),II,2,ThermoFisher_41467_methanol,,,,,, liquid ,colourless,32.04,0.791,,4,4,4,2,2A,,,,,,,,,,,,,,,,,,,,,
606,160,molybdenum pentachloride,,10241-05-1,TANiOBIS,1030978,201002H003,,500 g,0.5,kg,glovebox,95%,molybdenum pentachloride_TANiOBIS_SDS_revised July 2020,UN 2508,8,III,,,,,,,,solid (crystalline),black,,2.93,,4,4,4,2,2A,,,,,,,,,,,,,,,,,,,,,
614,161,n-hexane,anhydrous,110-54-3,ThermoFisher,43263,Z22F710,,1L,0.661,kg,FC 2,80%,n-hexane_ThermoFisher_SDS_Revised May 2024,UN1208,3,II,,ThermoFisher_43263_n-hexane,,,,,,liquid ,colourless,86.18,0.661,,4,4,4,2,2A,,,,,,,,,,,,,,,,,,,,,
626,162,conductive ink sliver strands,NanoSilvex T-01,,NanoCnet,link,,,100 mL,0.1,kg,FC2,50% (with X on it?),NanoSilvex T-01-Transparent Conductive Ink (silver strands)_NanoCnet_SDS_revised March 2021,Not dangerous goods,n/a,n/a,,,,,,,,Liquid (High Viscosity),Silver,,,,4,4,4,2,2A,,,,,,,,,,,,,,,,,,,,,
651,163,nickel (II) acetate tetrahydrate,98%,6018-89-9,ThermoFisher,A13026,10225302,,100 g,0.1,kg,FC1; ,40%,Nickel (II) acetate tetrahydrate_ThermoFisher_SDS_Revised March 2024,UN3077,9,III,n/a,"Thermo_A13026_Nickel (II) acetate tetrahydrate, 98%+",,,,,,solid (powder),greenish-blue,248.86,,,4,4,4,2,2A,,,,,,,,,,,,,,,,,,,,,
657,164,nickel (II) carbonate,basic hydrate,39430-27-8,STREM,93-2808,33650100,,50 g,0.05,kg,FC1,"received after June 30, 2023","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025",Not dangerous goods,n/a,n/a,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate",,,,,,solid (powder),green,,,,,,,2,2A,,1B,,,,,,,,,,,,,,,,,,3,
658,165,nickel (II) chloride,,7718-54-9,Sigma Aldrich,339350,,,vial,,,FC1; metal chlorides,vial 20% full,Nickel(II) chloride_Sigma_SDS_Revised Jan 2025,UN3288,6.1,III,,Sigma_339350_Nickel (II) Chloride,,,,,,solid (powder),light green,129.6,3.55,,,,,,2A,,,,,,3,,,,3,,,,,,,,,,,
671,166,nickel (II) nitrate hexahydrate,,13478-00-7,Sigma Aldrich,244074-100G,MKCN6335,,100 g,0.1,kg,FC1; oxidizers,80%,Nickel (II) Nitrate Hexahydrate_Sigma_SDS_Revised Jan 2025,UN2725 ,5.1,III,,"Sigma_244074_Nickel (II) Nitrate Hexahydrate, crystal",,,,,,solid (crystalline),dark green,290.78,2.05,,,,,,2,,,,,,,,,,,,,,,,,,,,,
673,167,nickel (II) pivalate,"crude in ethanol, Ageias",,Ageias,#14 - 1056LAB1-Ex-F-002-EtOH,,,9 mL,0.009,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
ethyl alcohol (ethanol), denatured_Fisher_SDS_revised Dec-2021
Pivalic acid_TCI_SDS_revised July 2018 (received Nov 2023)",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate",,,,,,"solid (powder, crystal), liquid","green, colourless, white",,,,,,2,2,2A,1,1,,,,3,,,,,,,,,,,,,,,
720,168,nitric acid,68-70%,7697-37-2,VWR (anachemia),62786-460 (CA11021-134),315223,,2.5 L,3.525,kg,"FC1; bottom left, oxidizer container",100%,nitric acid 68-70%_VWR (anachemia)_SDS_revised March 2020,UN2031,8 (5.1),II,,VWR (Anachemia)_62786-460_nitric acid,,,,,,liquid,,,1.41,,,,,1A,1,,,,,,,,,,3,,,,,,,,,,,
734,169,oxalic acid,,144-62-7,Amazon,X0010G7QKH,104157804,,2 lbs,0.9090909091,kg,"unaltered portion in FC1, dried portion in glovebox",100%,bought on Amazon; no SDS provided,Not dangerous goods,n/a,n/a,,,,,,,,solid (powder),white ,90.03,1.9,,,,,1A,1,,,,,,,,,,3,,,,,,,,,,,
757,170,poly(diallyldimethylammonium chloride),"Mw<100000, 35 wt% in water",26062-79-3,Sigma Aldrich,522376-1L,MKCJ9009,,1 L,1.09,kg,FC1; bottom right,90%,poly(diallyldimethylammonium chloride) (PDDA)_Sigma_SDS_revised Dec 2024,Not dangerous goods,n/a,n/a,,Sigma_522376_poly(diallyldimethylammonium chloride),,,,,,liquid,yellow,515000,1.09,,4,,2,1B,1,,,,,,,,,,3,,,,,,,,,,,
758,171,poly(ethyl methacrylate),Mw 515000,9003-42-3,Sigma Aldrich,182087-250G,06226KA,,250 g,0.25,kg,FC1,100%,"poly(ethyl methacrylate) Ave MW 515,000_Sigma_SDS_revised April 2022",Not dangerous goods,n/a,n/a,,"Sigma_182087_poly(ethyl methacrylate), average Mw ~515,000",,,,,,solid (powder),light yellow,,1.11,,,,,,2,,,,,,3,2,,1,2,,,,,,,,,,,
759,172,poly(ethylene glycol) 400,,25322-68-3,Sigma Aldrich,06855 - 1KG,BCCB5243,,1 kg,1,kg,FC1; ,90%,Poly(ethylene glycol) 400 (Kollisolv)_PEG E400_Sigma_SDS_Revised June 2022,Not dangerous goods,n/a,n/a,,Sigma_06855_Poly(ethylene glycol) 400 (Kollisolv),,,,,,liquid (viscous),colourless,,1.126,,,,,,2,,,,,,3,2,,1,2,,,,,,,,,,,
760,173,poly(ethylene glycol) diacrylate,Mn=700,26570-48-9,Sigma Aldrich,455008-100mL,MKCK7369,,100 mL,0.112,kg,Fridge (previously in FC2),50%,poly(ethylene glycol) diacrylate Mn =700_Sigma_SDS_revised Dec 2022,Not dangerous goods,n/a,n/a,,Sigma_455008_poly(ethylene glycol) diacrylate; ave Mn = 700,,,,,,liquid ,colourless,,1.12,,,,,,2,,,,,,3,2,,1,2,,,,,,,,,,,
762,174,poly(ethylene glycol) methyl ether methacrylate,Mn=500,26915-72-0,Sigma Aldrich,447943-500ML,MKCP1470,,500 mL,0.54,kg,in fridge,100%,"poly(ethylene glycol) methyl ether methacrylate, Ave Mn 500_Sigma_SDS_revised Dec 2022",Not dangerous goods,n/a,n/a,,"Sigma_1447943_poly(ethylene glycol) methyl ether methacrylate, Ave Mn 500",,,,,,liquid (viscous),colourless,,1.08,,,,,,2,,,,,,3,2,,1,2,,,,,,,,,,,
764,175,poly(ethylene glycol) methyl ether methacrylate,Mn=951,26915-72-0,Sigma Aldrich,447951-500ML,MKCM6972,,500 mL,0.55,kg,FC2,10%,"poly(ethylene glycol) methyl ether methacrylate, Ave Mn 950_Sigma_SDS_revised Dec 2022",Not dangerous goods,n/a,n/a,,"Sigma_447951_poly(ethylene glycol) methyl ether methacrylate, Ave Mn 950",,,,,,solid ,white,,1.1,,,,,,2,,,,,,3,2,,1,2,,,,,,,,,,,
765,176,poly(ethylene glycol) methyl ether methacrylate,Mn=952,26915-72-0,Sigma Aldrich,447951-500ML,MKCK8458,,100 mL,0.11,kg,Fridge,5%,"poly(ethylene glycol) methyl ether methacrylate, Ave Mn 950_Sigma_SDS_revised Dec 2022",Not dangerous goods,n/a,n/a,,"Sigma_447951_poly(ethylene glycol) methyl ether methacrylate, Ave Mn 950",,,,,,solid ,white,,1.1,,4,4,4,,2A,,,,,,,,,,2,,,,,,,,,,,
766,177,Pluronic P-123,PEG-PPG-PEG,9003-11-6,Sigma Aldrich,435465-250ML,MKCH4375,,250 mL,0.25,kg,FC2,40%,poly(ethylene glycol)-block-poly(propylene gycol)-block-poly(ethylene glycol)_Sigma_SDS_revised Nov 2023,Not dangerous goods,n/a,n/a,,Sigma_435465_poly(ethylene glycol)-block-poly(propylene gycol)-block-poly(ethylene glycol),,,,,,solid (semi-solid),colorless or white,"8,400",,,4,4,4,,2A,,,,,,,,,,2,,,,,,,,,,,
767,178,poly(methyl methacrylate),Mn 350000,9011-14-7,Sigma Aldrich,445746-500G,MKBH8732V,,500 g,0.5,kg,FC1; ,trace,"poly(methyl methacrylate) Ave Mn 350,000_Sigma_SDS_revised Dec 2024",Not dangerous goods,n/a,n/a,,"Sigma_445746_poly(methyl methacrylate) Ave Mn 350,000 (PMMA)",,,,,,solid (powder),white,,1.17,,4,4,4,,2A,,,,,,,,,,2,,,,,,,,,,,
768,179,poly(methyl methacrylate),Mn 350000,9011-14-7,Sigma Aldrich,445746-500G,MKCK0753,,500 g,0.5,kg,FC1; ,100%,"poly(methyl methacrylate) Ave Mn 350,000_Sigma_SDS_revised Dec 2024",Not dangerous goods,n/a,n/a,,"Sigma_445746_poly(methyl methacrylate) Ave Mn 350,000 (PMMA)",,,,,,solid (powder),white,,1.17,,4,3,3,,,,,,,,,,,,3,,,,,,,,,,3,
769,180,poly(vinyl butyral-co-vinyl alcohol-co-vinyl acetate),"Mw 90,000-120,000",27360-07-2,Sigma Aldrich,418412-250G,MKCF6280,,250 g,0.25,kg,FC1; ,50%,Poly(vinyl butyral-co-vinyl alcohol-co-vinyl acetate)_Sigma_SDS_revised March 2022,Not dangerous goods,n/a,n/a,,"Sigma_418412_Poly(vinyl butyral-co-vinyl alcohol-co-vinyl acetate), average Mw 90,000-120,000, powder",,,,,,solid (powder), ,,1.083,,4,3,3,,,,,,,,,,,,3,,,,,,,,,,3,
771,181,Polytec PU 1000,conductive epoxy/adhesive,"contains 7440-22-4, 55965-84-9",all4-GP(North America) Inc.,PU1000,200914-2,,10 g,0.01,kg,fridge,50%,Polytec electrically conductive Adhesive PU1000_Polytec_SDS_revised Jan 2019,UN3082,9,III,,,,March 2021,,,,solid (pasty),silver-coloured,,2.8,,4,4,4,1A,1,,,,,,3,,,,3,,,,,,,,,,1,2
772,182,SB1227 Part A,epoxy resin for electrically conductive adhesives ,"Part A :7440-22-4, 9003-36-5, 28064-14-4, 2425-79-8",all4-GP(North America) Inc.,SB1227,201106-1A,,10 g,0.01,kg,fridge,80%,Polytec Epoxy resin for electrically conductive adhesives SB1227 Part A_Polytec_SDS_revised Dec 2018,UN3082,9,III,,,,Part A = Nov 2021,,,,solid (pasty),silver-coloured,,3.8,,,,,,1,,,,,,,,,,,,,,,,,1,,,3,
773,183,SB1227 Part B,epoxy hardener,"Part B: 23996-25-0, 96-48-0",all4-GP(North America) Inc.,SB1227,201106-1A,,10 g,0.01,kg,fridge,80%,Polytec Epoxy hardner for electrically conductive adhesives SB1227 Part B_Polytec_SDS_revised Dec 2018,not dangerous goods,n/a,n/a,,,,Part A = Nov 2021,,,,liquid,dark yellow,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,184,polyvinyl butyral,Butvar 98,63148-65-2,Spectrum/Eastman,P3018,"2022.016-A1,  2022.016-A2, 2022.016-A3, 2022.016-B1, 2022.016-B2, 2022.016-B3, 2022.016-C1, 2022.016-C2, 2022.016-C3",,9 sheets (3 of each formulation,,,glovebox,,polyvinyl butyral_Spectrum(Eastman)_SDS_revised March 2018 received March 2022,Not dangerous goods,n/a,n/a,,,,,,,,solid ,white,,1.083,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,185,polyvinyl butyral,Mowital B 30 HH,"68648-78-2 (can also be 63148-65-2) and impuritites including 7732-18-5, 123-72-8, 7647-14-5",Kuraray America Inc,Mowital B 30 HH,M121035182 (bottle states DE10019274),,500 g,0.5,kg,"black storage cabinet ,3rd floor refill from large bag",10%,polyvinyl butyral (PVB)_Mowital B30HH and B45H_Kuraray_SDS_revised May 2020,Not dangerous goods,n/a,n/a,,"Kuraray America_Mowital B 30 HH, B 45 H, 60H and 60HH_polyvinyl butyral",,,,,,solid (powder) ,colourless ,234.25,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,186,polyvinyl butyral,Mowital B 45 H,"68648-78-2 (can also be 63148-65-2) and impuritites including 7732-18-5, 123-72-8, 7647-14-5",Kuraray America Inc,Mowital B 45 H,"M121075089, bottle states DE10021827",,500 g + 2 jars,0.5,kg,black storage cabinet + jar in gloce box ; refill from large bag,5%,polyvinyl butyral (PVB)_Mowital B30HH and B45H_Kuraray_SDS_revised May 2020,Not dangerous goods,n/a,n/a,,"Kuraray America_Mowital B 30 HH, B 45 H, 60H and 60HH_polyvinyl butyral",,,,,,solid (powder) ,colourless ,234.25,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,187,potassium chloride,,7447-40-7,Sigma Aldrich,746436-500G,SLBP3770V,,500 g,0.5,kg,FC1; bottom right,75%,Potassium chloride_Sigma_SDS _revised Aug 2023,Not dangerous goods,n/a,n/a,,Sigma_746436_potassium chloride,,,,,,solid (powder) ,white,74.55,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,188,propylene glycol monomethyl ether acetate,,108-65-6,Sigma Aldrich,484431-1L,MKCJ2913,,1 L,0.97,kg,FC 2,50%,Proplyene Gycol monomethyl ether acetate_Sigma_SDS_revised July 2024,UN3271,3,III,,Sigma_484431_propylene glycol monomethyl ether acetate,,,,,,liquid ,colourless,132.16,0.97,,,,,,,,1,,,,,,,,,,,,,,,,,,,
832,189,SCIGRIP 16 ,solvent cement for acrylic,"contains 75-09-2, 79-20-9, 78-93-3, 80-62-6",SCIGRIP Smarter Adhesive Solutions,SCIGRIP 16 Solvent Cement for Acrylic,,,1.5 fl Oz US (44 mL),0.046875,kg,FC2,50%,SCIGRIP 16 Solvent Cement for Acrylic_SCIGRIP_SDS_revised FEB 2018 (received Feb 2023),UN1992,3 (6.1),II,,,,,,,,liquid,clear,,1.107,,,,,,,,1,,,,,,,,,,,,,,,,,,,
833,190,SCIGRIP 3,low VOC solvent cement for acrylic,"contains 75-09-2, 79-01-6, 80-62-6",SCIGRIP Smarter Adhesive Solutions,SCIGRIP 3 Low VOC Solvent Cement for Acrylic,,,1 pint (473 mL),0.629,kg,FC2,"recieved after Aug 31, 2022",SCIGRIP 3 Low VOC Solvent Cement for Acrylic_SCIGRIP_SDS_revised JULY 2017 (received Feb 2023),UN1593,6.1,III,,,,,,,,liquid,clear,,1.33,,,,,,,,1,,,,,,,,,,,,,,,,,,,
834,191,SIBS 072T,,,Kaneka North America LLC,,072TUCP120,,,,,FC1,80%,,,,,,,,,,,, , ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
840,192,silver 2-ethylhexanoate,,26077-31-6,Strem,93-4741,A1918077,,5 g,0.005,kg,FC1; metal 2ethylhexanoates,trace,silver 2-ethylhexanoate_Strem_SDS_revised July 2021 checked Feb 2025,Not dangerous goods,n/a,n/a,,Strem_93-4741_silver 2-ethylhexanoate,,,,,,solid (powder),white,251.074,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
843,193,silver nanoparticles,"dispersion in water, 15 nm, 50,000 ppm","contains 7440-22-4, 7732-18-5","US Research Nanomaterials, Inc.",US7160,,,15 g,0.015,kg,FC1; dispersions,"<10%, old",Silver (Ag) Nanoparticles Water Dispersion_US Research Nanomaterials_SDS_Revised June 2021,Not dangerous goods,n/a,n/a,,"US Research Nanomaterials_US7160_silver water dispersion (Ag, 15vnm, 50,000 ppm)",,,,,,liquid , ,,,,,,,1B,1,,,,,,,,,,,,,1,,,,,,,,
